country,vaccines,people_fully_vaccinated,people_vaccinated,total_vaccinations
Democratic Republic of Congo,Oxford/AstraZeneca,519397.0,853971.0,964948.0
Denmark,"Johnson&Johnson, Moderna, Pfizer/BioNTech",4801547.0,4841445.0,13211743.0
Djibouti,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V",105020.0,145050.0,165554.0
Dominica,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",29931.0,32403.0,62334.0
Dominican Republic,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",5923507.0,7184321.0,15484878.0
Ecuador,"CanSino, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",13709968.0,14836133.0,33165706.0
Egypt,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V",31722116.0,44531740.0,76716981.0
El Salvador,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",4281899.0,4582343.0,10418549.0
England,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",41501690.0,44377784.0,118170701.0
Equatorial Guinea,Sinopharm/Beijing,210706.0,262703.0,473409.0
Estonia,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",842855.0,859186.0,1971557.0
Eswatini,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech",318360.0,387509.0,509424.0
Ethiopia,"Covaxin, Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",20958931.0,24486746.0,29373478.0
Faeroe Islands,"Moderna, Pfizer/BioNTech",40895.0,41715.0,103894.0
Falkland Islands,Oxford/AstraZeneca,1775.0,2632.0,4407.0
Fiji,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",627451.0,680784.0,1308235.0
Finland,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",4308827.0,4505614.0,11679339.0
France,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",52438706.0,53993210.0,141666197.0
French Polynesia,"Johnson&Johnson, Pfizer/BioNTech",180807.0,186250.0,367057.0
Gabon,"Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",250565.0,297308.0,548978.0
Gambia,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",318161.0,331266.0,363353.0
